"experiment","scope","array_length","n","M","SE","ci_low","ci_high","df","t","p","condition"
"exp1","pooled","2",44,0.902069395251213,0.338400910695258,0.219618918440496,1.58451987206193,43,2.66568252844792,0.0107796546735513,NA
"exp1","pooled","6",44,1.50924504788141,0.364919633441459,0.773314469774944,2.24517562598788,43,4.13582857586512,0.000161028652979918,NA
"exp1","pooled","8",44,1.91294850982351,0.416282931444117,1.07343396930847,2.75246305033855,43,4.59530853976488,3.76392318201293e-05,NA
"exp1","pooled","12",44,1.61016332152696,0.434456040590118,0.73399921356146,2.48632742949246,43,3.70615936042663,0.00059706666402159,NA
"exp1","by_condition","2",23,0.838448146056842,0.446355800618464,-0.0872371275485293,1.76413341966221,22,1.87843004368959,0.0736394474315454,"average"
"exp1","by_condition","6",23,1.45315029173725,0.509431671614974,0.396653668037626,2.50964691543687,22,2.85249302841841,0.00925973606528316,"average"
"exp1","by_condition","8",23,1.82042323618411,0.640161260193491,0.492810039553323,3.14803643281489,22,2.84369478345796,0.00944759163659611,"average"
"exp1","by_condition","12",23,2.54986903193425,0.553855496648952,1.40124303392338,3.69849502994512,22,4.60385253439206,0.00013804345080526,"average"
"exp1","by_condition","2",21,0.971749811035525,0.5247573213953,-0.122874780080217,2.06637440215127,20,1.851808009942,0.0788746098462393,"experience"
"exp1","by_condition","6",21,1.57068216175359,0.535594103058478,0.453452440202459,2.68791188330472,20,2.93259793710256,0.00823177509514956,"experience"
"exp1","by_condition","8",21,2.01428571428571,0.534729270655848,0.898860001514479,3.12971142705695,20,3.76692622757528,0.00121255426740917,"experience"
"exp1","by_condition","12",21,0.580961829176115,0.615950568073487,-0.703888541147824,1.86581219950005,20,0.943195540825936,0.356836088615725,"experience"
