"bias","experiment","level","true","n","mean_report","sd_report"
-2.11926605504587,"exp3","2 squares",14,109,11.8807339449541,4.94736138173898
-2.54901960784314,"exp3","2 squares",15,102,12.4509803921569,5.00025237180984
-1.96116504854369,"exp3","2 squares",16,103,14.0388349514563,4.86468331213799
-3.22131147540984,"exp3","2 squares",17,122,13.7786885245902,4.12913913562559
-3.70796460176991,"exp3","2 squares",18,113,14.2920353982301,4.4534926420756
-2.57657657657658,"exp3","2 squares",19,111,16.4234234234234,5.26834379624625
-3.83,"exp3","2 squares",20,100,16.17,5.00314042791267
-3.27826086956522,"exp3","2 squares",21,115,17.7217391304348,4.23135295456276
-3.52727272727273,"exp3","2 squares",22,110,18.4727272727273,4.45715400805749
-3.72,"exp3","2 squares",23,125,19.28,5.50454357780915
-4.49593495934959,"exp3","2 squares",24,123,19.5040650406504,4.78791851098849
-4.28971962616822,"exp3","2 squares",25,107,20.7102803738318,5.01885002575553
-4.21739130434782,"exp3","2 squares",26,138,21.7826086956522,5.60856895293067
-4.54444444444444,"exp3","2 squares",27,90,22.4555555555556,5.54483484948965
-3.78571428571428,"exp3","2 squares",28,112,24.2142857142857,5.50745370675472
-4.6036036036036,"exp3","2 squares",29,111,24.3963963963964,5.41593487150192
-5.30769230769231,"exp3","2 squares",30,117,24.6923076923077,6.16925292864644
-5.08928571428572,"exp3","2 squares",31,112,25.9107142857143,5.79927546177933
-3.81196581196581,"exp3","2 squares",32,117,28.1880341880342,6.48729743412625
-5,"exp3","2 squares",33,104,28,5.63277510112075
-5.60504201680672,"exp3","2 squares",34,119,28.3949579831933,6.31277758227742
-5.5,"exp3","2 squares",35,110,29.5,6.15212352389084
-5.79,"exp3","2 squares",36,100,30.21,6.0541245644952
0.625,"exp3","10 squares",14,112,14.625,4.12228616707322
0.069565217391304,"exp3","10 squares",15,115,15.0695652173913,4.67490827216594
0.717741935483872,"exp3","10 squares",16,124,16.7177419354839,5.66914410292158
0.557522123893804,"exp3","10 squares",17,113,17.5575221238938,5.26433087102202
0.11214953271028,"exp3","10 squares",18,107,18.1121495327103,4.86870464893498
0.0512820512820511,"exp3","10 squares",19,117,19.051282051282,4.61602559651615
-0.452991452991451,"exp3","10 squares",20,117,19.5470085470085,5.0897051714893
-0.378947368421052,"exp3","10 squares",21,95,20.6210526315789,5.22306453487781
-0.938053097345133,"exp3","10 squares",22,113,21.0619469026549,5.27508155969566
-0.785046728971963,"exp3","10 squares",23,107,22.214953271028,5.76264489423399
-1.5546218487395,"exp3","10 squares",24,119,22.4453781512605,5.31977041525704
-1.79032258064516,"exp3","10 squares",25,124,23.2096774193548,5.31797717143546
-1.8,"exp3","10 squares",26,115,24.2,5.59479708175059
-1.66336633663366,"exp3","10 squares",27,101,25.3366336633663,4.88932966309855
-1.784,"exp3","10 squares",28,125,26.216,6.20169591789734
-2.6796875,"exp3","10 squares",29,128,26.3203125,5.57120492452249
-2.35,"exp3","10 squares",30,100,27.65,5.81251697075832
-4.03968253968254,"exp3","10 squares",31,126,26.9603174603175,5.53013677031705
-4.01010101010101,"exp3","10 squares",32,99,27.989898989899,6.63862376550268
-2.7029702970297,"exp3","10 squares",33,101,30.2970297029703,5.45260406494997
-3.73076923076923,"exp3","10 squares",34,104,30.2692307692308,5.29925946325049
-3.59550561797753,"exp3","10 squares",35,89,31.4044943820225,6.30965908372306
-4.58267716535433,"exp3","10 squares",36,127,31.4173228346457,6.02961072328187
-0.220338983050848,"exp3","20 squares",14,118,13.7796610169492,5.11932085710151
-1.1640625,"exp3","20 squares",15,128,13.8359375,4.76003266009771
-1.01923076923077,"exp3","20 squares",16,104,14.9807692307692,3.86415131975401
-0.389830508474578,"exp3","20 squares",17,118,16.6101694915254,5.2770004078416
-1.09009009009009,"exp3","20 squares",18,111,16.9099099099099,5.41974429042812
-1.63793103448276,"exp3","20 squares",19,116,17.3620689655172,4.93328808547938
-1.65116279069768,"exp3","20 squares",20,129,18.3488372093023,4.17704134748564
-1.68852459016393,"exp3","20 squares",21,122,19.3114754098361,5.54334082997262
-2.5929203539823,"exp3","20 squares",22,113,19.4070796460177,5.71126263269965
-3.58878504672897,"exp3","20 squares",23,107,19.411214953271,4.88539075710282
-3.29545454545455,"exp3","20 squares",24,88,20.7045454545455,5.16655711617434
-2.46218487394958,"exp3","20 squares",25,119,22.5378151260504,5.91721120175797
-2.67256637168142,"exp3","20 squares",26,113,23.3274336283186,4.8687092706459
-3.025,"exp3","20 squares",27,120,23.975,5.05176980386681
-3.34126984126984,"exp3","20 squares",28,126,24.6587301587302,6.03345698373687
-2.1734693877551,"exp3","20 squares",29,98,26.8265306122449,5.71672444278394
-3.92,"exp3","20 squares",30,125,26.08,6.43152517907162
-2.70476190476191,"exp3","20 squares",31,105,28.2952380952381,5.95806468566218
-4.00943396226415,"exp3","20 squares",32,106,27.9905660377358,5.92411581993283
-4.16494845360825,"exp3","20 squares",33,97,28.8350515463918,6.39609322876592
-5.29292929292929,"exp3","20 squares",34,99,28.7070707070707,6.08989213612551
-4.45,"exp3","20 squares",35,100,30.55,6.09582569543215
-4.6530612244898,"exp3","20 squares",36,98,31.3469387755102,6.5063046994107
