"experiment","version","level","report","mean_objective","n"
"short_exposure","raw","2 squares",3,16,1
"short_exposure","raw","2 squares",5,17.6666666666667,3
"short_exposure","raw","2 squares",6,14.5,2
"short_exposure","raw","2 squares",7,14.8,5
"short_exposure","raw","2 squares",8,15.8571428571429,7
"short_exposure","raw","2 squares",9,15.1875,16
"short_exposure","raw","2 squares",10,15.9565217391304,23
"short_exposure","raw","2 squares",11,18.1923076923077,26
"short_exposure","raw","2 squares",12,16.8148148148148,27
"short_exposure","raw","2 squares",13,18.3939393939394,33
"short_exposure","raw","2 squares",14,18.4838709677419,31
"short_exposure","raw","2 squares",15,19.3958333333333,48
"short_exposure","raw","2 squares",16,19.2244897959184,49
"short_exposure","raw","2 squares",17,19.75,48
"short_exposure","raw","2 squares",18,20.8297872340426,47
"short_exposure","raw","2 squares",19,22.6530612244898,49
"short_exposure","raw","2 squares",20,24.1818181818182,55
"short_exposure","raw","2 squares",21,25.3777777777778,45
"short_exposure","raw","2 squares",22,23.62,50
"short_exposure","raw","2 squares",23,25.2205882352941,68
"short_exposure","raw","2 squares",24,26.8039215686275,51
"short_exposure","raw","2 squares",25,27.7307692307692,52
"short_exposure","raw","2 squares",26,29.3939393939394,33
"short_exposure","raw","2 squares",27,28.5,38
"short_exposure","raw","2 squares",28,28.8958333333333,48
"short_exposure","raw","2 squares",29,30.0714285714286,42
"short_exposure","raw","2 squares",30,30.75,36
"short_exposure","raw","2 squares",31,31.825,40
"short_exposure","raw","2 squares",32,30.1666666666667,24
"short_exposure","raw","2 squares",33,31.375,32
"short_exposure","raw","2 squares",34,32.9583333333333,24
"short_exposure","raw","2 squares",35,32.75,28
"short_exposure","raw","2 squares",36,33.1,10
"short_exposure","raw","2 squares",37,34.3333333333333,12
"short_exposure","raw","2 squares",38,29.375,8
"short_exposure","raw","2 squares",39,33.6,5
"short_exposure","raw","2 squares",40,32.5714285714286,7
"short_exposure","raw","2 squares",41,33.5714285714286,7
"short_exposure","raw","2 squares",42,34.2,5
"short_exposure","raw","2 squares",43,32.6666666666667,3
"short_exposure","raw","2 squares",44,32.25,4
"short_exposure","raw","2 squares",45,36,1
"short_exposure","raw","2 squares",46,36,1
"short_exposure","raw","10 squares",4,15,1
"short_exposure","raw","10 squares",6,17,3
"short_exposure","raw","10 squares",7,14,1
"short_exposure","raw","10 squares",9,14.8333333333333,6
"short_exposure","raw","10 squares",10,17.3,10
"short_exposure","raw","10 squares",11,17.3,10
"short_exposure","raw","10 squares",12,17.125,16
"short_exposure","raw","10 squares",13,16.7777777777778,27
"short_exposure","raw","10 squares",14,17.8846153846154,26
"short_exposure","raw","10 squares",15,17.875,32
"short_exposure","raw","10 squares",16,17.9354838709677,31
"short_exposure","raw","10 squares",17,19.4705882352941,34
"short_exposure","raw","10 squares",18,18.7692307692308,39
"short_exposure","raw","10 squares",19,20.0740740740741,54
"short_exposure","raw","10 squares",20,20.0338983050847,59
"short_exposure","raw","10 squares",21,21.2765957446809,47
"short_exposure","raw","10 squares",22,22.3488372093023,43
"short_exposure","raw","10 squares",23,23.1290322580645,62
"short_exposure","raw","10 squares",24,23.0980392156863,51
"short_exposure","raw","10 squares",25,23.8409090909091,44
