"meanVal","array_length","condition","mean_response","n_trials"
14,"2","average",12.719512195122,82
14,"2","experience",12.843137254902,51
14,"10","average",15.7710843373494,83
14,"10","experience",15.7323943661972,71
14,"20","average",13.474358974359,78
14,"20","experience",13.15,60
15,"2","average",13,65
15,"2","experience",13.8666666666667,60
15,"10","average",16.4242424242424,66
15,"10","experience",16.6140350877193,57
15,"20","average",14.1315789473684,76
15,"20","experience",14.7222222222222,54
16,"2","average",13.865671641791,67
16,"2","experience",14.5084745762712,59
16,"10","average",17.6588235294118,85
16,"10","experience",17.5263157894737,57
16,"20","average",14.2528735632184,87
16,"20","experience",15.406779661017,59
17,"2","average",14.9016393442623,61
17,"2","experience",14.3181818181818,66
17,"10","average",17.2615384615385,65
17,"10","experience",19.0701754385965,57
17,"20","average",14.9130434782609,69
17,"20","experience",16.6190476190476,63
18,"2","average",15.4545454545455,77
18,"2","experience",16,59
18,"10","average",19.0140845070423,71
18,"10","experience",18.2388059701493,67
18,"20","average",16.1232876712329,73
18,"20","experience",17.1333333333333,60
19,"2","average",15.8589743589744,78
19,"2","experience",16.0727272727273,55
19,"10","average",17.4705882352941,85
19,"10","experience",21.4193548387097,62
19,"20","average",17.5903614457831,83
19,"20","experience",17.5454545454545,66
20,"2","average",16.5434782608696,92
20,"2","experience",18.1351351351351,74
20,"10","average",19.4719101123596,89
20,"10","experience",21.171875,64
20,"20","average",17.3466666666667,75
20,"20","experience",18.5131578947368,76
21,"2","average",17.3809523809524,63
21,"2","experience",18.2469135802469,81
21,"10","average",20.6309523809524,84
21,"10","experience",21.5538461538462,65
21,"20","average",18.9868421052632,76
21,"20","experience",20.3382352941176,68
22,"2","average",18.6052631578947,76
22,"2","experience",18.7083333333333,72
22,"10","average",20.7977528089888,89
22,"10","experience",22.3636363636364,66
22,"20","average",19.530303030303,66
22,"20","experience",20.5483870967742,62
23,"2","average",19.5068493150685,73
23,"2","experience",20.4769230769231,65
23,"10","average",21.3764705882353,85
23,"10","experience",22.2317073170732,82
23,"20","average",18.8970588235294,68
23,"20","experience",21.1304347826087,69
24,"2","average",20.4647887323944,71
24,"2","experience",21.0147058823529,68
24,"10","average",22.825,80
24,"10","experience",25.0161290322581,62
24,"20","average",21.0229885057471,87
24,"20","experience",23.0714285714286,56
25,"2","average",21.8765432098765,81
25,"2","experience",22.4,60
25,"10","average",21.9692307692308,65
25,"10","experience",25.5416666666667,48
25,"20","average",20.7313432835821,67
25,"20","experience",23.2535211267606,71
26,"2","average",21.4597701149425,87
26,"2","experience",23.5438596491228,57
26,"10","average",23.8780487804878,82
26,"10","experience",26.2203389830508,59
26,"20","average",21.474358974359,78
26,"20","experience",24.6440677966102,59
27,"2","average",23.6111111111111,72
27,"2","experience",23.4590163934426,61
27,"10","average",25,72
27,"10","experience",24.943661971831,71
27,"20","average",22.4444444444444,72
27,"20","experience",25.4328358208955,67
28,"2","average",21.8823529411765,68
28,"2","experience",23.6984126984127,63
28,"10","average",24.3658536585366,82
28,"10","experience",27.8253968253968,63
28,"20","average",24.0689655172414,87
28,"20","experience",26.1,70
29,"2","average",25.5797101449275,69
29,"2","experience",27.2238805970149,67
29,"10","average",25.4545454545455,77
29,"10","experience",28.5,54
29,"20","average",24.35,80
29,"20","experience",27.2153846153846,65
30,"2","average",25.2923076923077,65
30,"2","experience",27.3392857142857,56
30,"10","average",25.5285714285714,70
30,"10","experience",28.78125,64
30,"20","average",24.112676056338,71
30,"20","experience",29.06,50
31,"2","average",26.5,82
31,"2","experience",28,70
31,"10","average",26.4927536231884,69
31,"10","experience",29.2033898305085,59
31,"20","average",25.027397260274,73
31,"20","experience",29.1967213114754,61
32,"2","average",26.0126582278481,79
32,"2","experience",29.6323529411765,68
32,"10","average",27.8955223880597,67
32,"10","experience",30.2987012987013,77
32,"20","average",26.3875,80
32,"20","experience",29.7857142857143,70
33,"2","average",27.8837209302326,86
33,"2","experience",29.9310344827586,58
33,"10","average",29.695652173913,69
33,"10","experience",32.0677966101695,59
33,"20","average",27.44,75
33,"20","experience",30.3492063492063,63
34,"2","average",29.0394736842105,76
34,"2","experience",30.5438596491228,57
34,"10","average",29.089552238806,67
34,"10","experience",32.8,65
34,"20","average",28.5466666666667,75
34,"20","experience",31.6666666666667,57
35,"2","average",28.433734939759,83
35,"2","experience",32.2985074626866,67
35,"10","average",30.0675675675676,74
35,"10","experience",31.7857142857143,56
35,"20","average",28.4933333333333,75
35,"20","experience",32.8333333333333,54
36,"2","average",30.741935483871,93
36,"2","experience",34.3392857142857,56
36,"10","average",30.2093023255814,86
36,"10","experience",35.7014925373134,67
36,"20","average",29.9770114942529,87
36,"20","experience",33.2295081967213,61
