"participant_id","condition","array_length","side","n_trials","inward"
"average.55a56724fdf99b7973398109","average","2","high",12,3.33333333333333
"average.55a56724fdf99b7973398109","average","2","low",2,-2.5
"average.55a56724fdf99b7973398109","average","10","high",10,3.4
"average.55a56724fdf99b7973398109","average","10","low",6,-1.86666666666667
"average.55a56724fdf99b7973398109","average","20","high",6,3.66666666666667
"average.55a56724fdf99b7973398109","average","20","low",11,-3.68181818181818
"average.55d35a63da14d7001295328e","average","2","high",6,3.33333333333333
"average.55d35a63da14d7001295328e","average","2","low",12,-3.41666666666667
"average.55d35a63da14d7001295328e","average","10","high",4,3.95
"average.55d35a63da14d7001295328e","average","10","low",8,1.05
"average.55d35a63da14d7001295328e","average","20","high",7,2.78571428571429
"average.55d35a63da14d7001295328e","average","20","low",16,-4.9375
"average.55d4d11258c35800113dc2ab","average","2","high",8,6.375
"average.55d4d11258c35800113dc2ab","average","2","low",6,-6.16666666666667
"average.55d4d11258c35800113dc2ab","average","10","high",13,3.89230769230769
"average.55d4d11258c35800113dc2ab","average","10","low",7,0.514285714285716
"average.55d4d11258c35800113dc2ab","average","20","high",11,1.95454545454545
"average.55d4d11258c35800113dc2ab","average","20","low",9,-2.5
"average.56e6a66af6ed900006a5867c","average","2","high",3,13.6666666666667
"average.56e6a66af6ed900006a5867c","average","2","low",10,-2.7
"average.56e6a66af6ed900006a5867c","average","10","high",6,7.86666666666667
"average.56e6a66af6ed900006a5867c","average","10","low",5,-2.6
"average.56e6a66af6ed900006a5867c","average","20","high",9,7.94444444444444
"average.56e6a66af6ed900006a5867c","average","20","low",11,-0.590909090909091
"average.57bfc1beef05670001ee84c2","average","2","high",10,1.8
"average.57bfc1beef05670001ee84c2","average","2","low",8,-0.375
"average.57bfc1beef05670001ee84c2","average","10","high",13,2.81538461538462
"average.57bfc1beef05670001ee84c2","average","10","low",11,1.43636363636364
"average.57bfc1beef05670001ee84c2","average","20","high",3,3.83333333333333
"average.57bfc1beef05670001ee84c2","average","20","low",13,2.5
"average.5930c7fdfa699e0001017cc1","average","2","high",12,5.91666666666667
"average.5930c7fdfa699e0001017cc1","average","2","low",10,1.9
"average.5930c7fdfa699e0001017cc1","average","10","high",10,5.8
"average.5930c7fdfa699e0001017cc1","average","10","low",8,3.425
"average.5930c7fdfa699e0001017cc1","average","20","high",2,6
"average.5930c7fdfa699e0001017cc1","average","20","low",13,4.5
"average.593890eac6aa16000101f037","average","2","high",10,8.8
"average.593890eac6aa16000101f037","average","2","low",8,-5
"average.593890eac6aa16000101f037","average","10","high",12,10.2
"average.593890eac6aa16000101f037","average","10","low",5,-0.599999999999999
"average.593890eac6aa16000101f037","average","20","high",5,8.7
"average.593890eac6aa16000101f037","average","20","low",11,-2.31818181818182
"average.5969496f06679c00014b818e","average","2","high",12,10.5
"average.5969496f06679c00014b818e","average","2","low",5,-3.4
"average.5969496f06679c00014b818e","average","10","high",11,4.47272727272727
"average.5969496f06679c00014b818e","average","10","low",3,0.466666666666667
"average.5969496f06679c00014b818e","average","20","high",7,4.07142857142857
"average.5969496f06679c00014b818e","average","20","low",11,-3.04545454545455
"average.5a33d736bf4d770001e6097a","average","2","high",4,6
"average.5a33d736bf4d770001e6097a","average","2","low",10,-2.2
"average.5a33d736bf4d770001e6097a","average","10","high",10,6.7
"average.5a33d736bf4d770001e6097a","average","10","low",9,-0.866666666666666
"average.5a33d736bf4d770001e6097a","average","20","high",9,-0.5
"average.5a33d736bf4d770001e6097a","average","20","low",9,2.38888888888889
"average.5a937cb0dbdb470001ee923b","average","2","high",12,6
"average.5a937cb0dbdb470001ee923b","average","2","low",6,-2.33333333333333
"average.5a937cb0dbdb470001ee923b","average","10","high",12,3.03333333333333
"average.5a937cb0dbdb470001ee923b","average","10","low",6,-0.366666666666666
"average.5a937cb0dbdb470001ee923b","average","20","high",4,5.5
"average.5a937cb0dbdb470001ee923b","average","20","low",13,0.192307692307692
"average.5c476621b521ee00019abf67","average","2","high",7,3.85714285714286
"average.5c476621b521ee00019abf67","average","2","low",6,-6.83333333333333
"average.5c476621b521ee00019abf67","average","10","high",10,7.4
"average.5c476621b521ee00019abf67","average","10","low",8,-1.575
"average.5c476621b521ee00019abf67","average","20","high",14,8.35714285714286
"average.5c476621b521ee00019abf67","average","20","low",7,-0.0714285714285714
"average.5d9420526928f000181e12f1","average","2","high",13,3.15384615384615
"average.5d9420526928f000181e12f1","average","2","low",8,-3.25
"average.5d9420526928f000181e12f1","average","10","high",9,6.08888888888889
"average.5d9420526928f000181e12f1","average","10","low",8,4.675
"average.5d9420526928f000181e12f1","average","20","high",6,4.5
"average.5d9420526928f000181e12f1","average","20","low",7,1.21428571428571
"average.5e3a8aeedc1d57292aea3f22","average","2","high",6,2.5
"average.5e3a8aeedc1d57292aea3f22","average","2","low",8,-1.625
"average.5e3a8aeedc1d57292aea3f22","average","10","high",11,7.2
"average.5e3a8aeedc1d57292aea3f22","average","10","low",7,2.37142857142857
"average.5e3a8aeedc1d57292aea3f22","average","20","high",4,8
"average.5e3a8aeedc1d57292aea3f22","average","20","low",10,-0.6
"average.5f4a4da1575d605c43bef871","average","2","high",12,8.5
"average.5f4a4da1575d605c43bef871","average","2","low",10,-2.2
"average.5f4a4da1575d605c43bef871","average","10","high",12,6.36666666666667
"average.5f4a4da1575d605c43bef871","average","10","low",4,-0.199999999999999
"average.5f4a4da1575d605c43bef871","average","20","high",7,6.92857142857143
"average.5f4a4da1575d605c43bef871","average","20","low",11,-1.59090909090909
"average.603470186bba1c26a354c27e","average","2","high",9,7.33333333333333
"average.603470186bba1c26a354c27e","average","2","low",7,-4.71428571428571
"average.603470186bba1c26a354c27e","average","10","high",12,6.45
"average.603470186bba1c26a354c27e","average","10","low",6,-4.03333333333333
"average.603470186bba1c26a354c27e","average","20","high",10,5.5
"average.603470186bba1c26a354c27e","average","20","low",8,-4.5
"average.605fbc12c61d8d10250f6e51","average","2","high",15,2.26666666666667
"average.605fbc12c61d8d10250f6e51","average","2","low",4,-1.75
"average.605fbc12c61d8d10250f6e51","average","10","high",7,3.48571428571429
"average.605fbc12c61d8d10250f6e51","average","10","low",9,-0.866666666666666
"average.605fbc12c61d8d10250f6e51","average","20","high",9,2.5
"average.605fbc12c61d8d10250f6e51","average","20","low",6,0.333333333333333
"average.607b73619e1bfba7bfb23cce","average","2","high",8,-1.125
"average.607b73619e1bfba7bfb23cce","average","2","low",7,-1
"average.607b73619e1bfba7bfb23cce","average","10","high",9,-5.24444444444444
"average.607b73619e1bfba7bfb23cce","average","10","low",11,-2.01818181818182
"average.607b73619e1bfba7bfb23cce","average","20","high",6,-4.66666666666667
"average.607b73619e1bfba7bfb23cce","average","20","low",14,-1.64285714285714
"average.60c119b30aa5205b493541b6","average","2","high",10,-1.8
"average.60c119b30aa5205b493541b6","average","2","low",10,-1.4
"average.60c119b30aa5205b493541b6","average","10","high",6,1.53333333333333
"average.60c119b30aa5205b493541b6","average","10","low",8,6.175
"average.60c119b30aa5205b493541b6","average","20","high",7,3.07142857142857
"average.60c119b30aa5205b493541b6","average","20","low",11,2.86363636363636
"average.6143af8721d1445864c4f6c8","average","2","high",11,1.90909090909091
"average.6143af8721d1445864c4f6c8","average","2","low",5,0
"average.6143af8721d1445864c4f6c8","average","10","high",10,3.9
"average.6143af8721d1445864c4f6c8","average","10","low",10,4.8
"average.6143af8721d1445864c4f6c8","average","20","high",5,-1.1
